z_m,phase,status,T_ambient_K,S_water,S_ice,gradT_K_m,r_critical_2nd_m,log10_nucleation_rate,diagnostic_class,rain_fav,snow_fav,graupel_fav,hail_fav,confidence
4605.263157894737,ice,ok,255.06578947368422,0.9644736842105263,1.1514711500177377,145.16495463935453,4.195931085511982e-06,49.07301000967381,deposition_favorable,0.3999999999999154,0.6023652533115611,0.5015768355410407,0.3304210526315111,0.8166666666666667
4947.368421052632,liquid,ok,252.8421052631579,0.9766917293233083,1.1919544372726958,72.91809342754287,5.110986758078108e-06,53.22096179079192,deposition_favorable,0.3999999999999947,0.6668673886961275,0.5445782591307516,0.3415394736842062,0.8166666666666667
4947.368421052632,ice,ok,252.8421052631579,0.9766917293233083,1.1919544372726958,143.8288037295451,4.195931089703706e-06,49.07015789930678,deposition_favorable,0.3999999999999153,0.6668673886960481,0.5445782591306988,0.34153947368414267,0.8166666666666667
5289.473684210527,liquid,ok,250.61842105263156,0.9889097744360902,1.2337032185346244,72.50019180971215,5.110986789692494e-06,53.233712890224346,deposition_favorable,0.27499999999999475,0.6908223684210474,0.4772149122806983,0.35265789473683784,0.8166666666666667
5289.473684210527,ice,ok,250.61842105263156,0.9889097744360902,1.2337032185346244,142.49564804366827,4.195931093826649e-06,49.06728059418447,deposition_favorable,0.27499999999991515,0.6908223684209678,0.4772149122806452,0.35265789473677417,0.8166666666666667
5631.578947368421,liquid,ok,248.39473684210526,0.9499999999999998,1.2115468855210378,72.09715376507373,5.110986826470383e-06,53.24645742332657,deposition_favorable,0.2749999999999948,0.7047203947368368,0.4864802631578912,0.3637763157894694,0.8166666666666667
5631.578947368421,ice,ok,248.39473684210526,0.9499999999999998,1.2115468855210378,141.16543813969523,4.195931097881124e-06,49.064377645210676,deposition_favorable,0.274999999999915,0.704720394736757,0.486480263157838,0.3637763157894055,0.8166666666666667
5973.684210526316,liquid,ok,246.17105263157896,0.9500000000000001,1.2385449336581302,71.71257568170176,5.11098686995758e-06,53.25917390655287,deposition_favorable,0.27499999999999486,0.7186184210526263,0.4957456140350842,0.37489473684210095,0.8166666666666667
5973.684210526316,ice,ok,246.17105263157896,0.9500000000000001,1.2385449336581302,139.83812479785632,4.195931101867433e-06,49.06144859117342,deposition_favorable,0.2749999999999148,0.7186184210525461,0.49574561403503076,0.3748947368420369,0.8166666666666667
6315.789473684211,liquid,ok,243.94736842105263,0.95,1.2661654214578957,71.35114497831769,5.110986922320116e-06,53.271833831171556,deposition_favorable,0.27499999999999486,0.7325164473684158,0.5050109649122773,0.3860131578947326,0.8166666666666667
6315.789473684211,ice,ok,243.94736842105263,0.95,1.2661654214578957,138.51365901473957,4.195931105785873e-06,49.058492958305166,deposition_favorable,0.27499999999991465,0.7325164473683357,0.5050109649122237,0.38601315789466845,0.8166666666666667
6657.894736842105,liquid,ok,241.72368421052633,0.95,1.294417598307958,71.01909653788073,5.110986986668271e-06,53.28439877061447,deposition_favorable,0.2749999999999949,0.7464144736842052,0.5142763157894702,0.3971315789473641,0.8166666666666667
6657.894736842105,ice,ok,241.72368421052633,0.95,1.294417598307958,137.1919919974291,4.195931109636735e-06,49.05551025982291,deposition_favorable,0.2749999999999145,0.7464144736841247,0.5142763157894165,0.39713157894729983,0.8166666666666667
7000.0,liquid,ok,239.5,0.95,1.3233104143071086,70.7249189276868,5.110987067596578e-06,53.29681594050848,deposition_favorable,0.27499999999999497,0.7603124999999948,0.5235416666666632,0.4082499999999959,0.8166666666666667
7000.0,ice,ok,239.5,0.95,1.3233104143071086,135.8730751576817,4.195931113420296e-06,49.052499995447036,deposition_favorable,0.2749999999999143,0.7603124999999142,0.5235416666666095,0.4082499999999313,0.8166666666666667
