grid_dx_m,radius_m,mask_mode,level_m,quantity,term,blocks,signed_m2_s,sum_abs_block_integrals_m2_s,sum_spatial_abs_blocks_m2_s,spatial_retained_fraction,temporal_retained_fraction
300,1200.0,fixed_initial,491.72390507287827,total,coriolis,9,132.80888242872456,443.99146216295253,886.3140438613522,0.5009414724251023,0.2991248565495645
300,1200.0,fixed_initial,491.72390507287827,total,external_forcing,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,491.72390507287827,total,guard,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,491.72390507287827,total,initial_bcs,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,491.72390507287827,total,les,9,3625.022525687136,4036.676017587393,11746.135865015616,0.34365991198945034,0.898021666810335
300,1200.0,fixed_initial,491.72390507287827,total,mask_motion,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,491.72390507287827,total,predictor_bcs,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,491.72390507287827,total,projection,9,5.779945308991268e-12,1.67984294077478e-11,1.442344092672152e-10,0.11646617123536915,0.3440765305312074
300,1200.0,fixed_initial,491.72390507287827,total,projection_bcs,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,491.72390507287827,total,surface_drag,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,491.72390507287827,total,transport_microphysics_bcs,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,596.0865590566414,les_label,inferred_muscl_label,9,-1168.078643701971,2595.6160757973844,14694.329614217773,0.17664065962464512,0.4500198063163607
300,1200.0,fixed_initial,596.0865590566414,les_label,local_les,9,2037.6394129548617,2602.2816328576478,10551.348959630715,0.24663023114996327,0.7830203261732533
300,1200.0,fixed_initial,596.0865590566414,les_label,mask_motion,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,596.0865590566414,total,advection,9,-34420.69808975959,53688.57415374523,97019.20495144188,0.5533808917586612,0.6411177542393061
300,1200.0,fixed_initial,596.0865590566414,total,buoyancy,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,596.0865590566414,total,coriolis,9,190.9639405664861,410.9713833543292,866.6086156934563,0.47422951481444914,0.46466481195806714
300,1200.0,fixed_initial,596.0865590566414,total,external_forcing,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,596.0865590566414,total,guard,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,596.0865590566414,total,initial_bcs,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,596.0865590566414,total,les,9,2037.6394129548617,2602.2816328576478,10551.348959630715,0.24663023114996327,0.7830203261732533
300,1200.0,fixed_initial,596.0865590566414,total,mask_motion,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,596.0865590566414,total,predictor_bcs,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,596.0865590566414,total,projection,9,-3.2321633772745308e-12,1.680948318770947e-11,1.5350776832540264e-10,0.10950249209588579,0.19228213867025848
300,1200.0,fixed_initial,596.0865590566414,total,projection_bcs,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,596.0865590566414,total,surface_drag,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,596.0865590566414,total,transport_microphysics_bcs,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,705.6673457395926,les_label,inferred_muscl_label,9,686.4200408202701,2282.3814985713598,12339.632132345932,0.18496349600151718,0.3007472857845762
300,1200.0,fixed_initial,705.6673457395926,les_label,local_les,9,-485.9901178188014,1077.5443475636364,7815.311728646854,0.13787605472139022,0.45101634927382916
300,1200.0,fixed_initial,705.6673457395926,les_label,mask_motion,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,705.6673457395926,total,advection,9,-28163.72173803325,59797.63649360905,100663.7158453248,0.5940336693460763,0.4709838613946437
300,1200.0,fixed_initial,705.6673457395926,total,buoyancy,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,705.6673457395926,total,coriolis,9,239.6933556805501,376.0793675180357,833.4706636924327,0.45122088143082684,0.6373477951274609
300,1200.0,fixed_initial,705.6673457395926,total,external_forcing,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,705.6673457395926,total,guard,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,705.6673457395926,total,initial_bcs,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,705.6673457395926,total,les,9,-485.9901178188014,1077.5443475636364,7815.311728646854,0.13787605472139022,0.45101634927382916
